Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Momentum,-0.33,-0.41,0.41,-0.2,1.11,0.45,19,0.0021,LVS,0.75,0.025,0.0005
Combined,0.34,0.15,0.12,0.03,0.3,0.06,20,-0.0023,LVS,0.75,0.025,0.0005
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,0.75,0.025,0.0005
Mean Reversion,0.18,0.24,0.69,-0.11,1.34,0.38,5,0.0033,U,0.75,0.025,0.0005
Momentum,-0.07,-0.09,0.7,-0.26,1.82,0.42,12,-0.0008,U,0.75,0.025,0.0005
Combined,0.21,0.1,0.27,0.02,0.54,0.06,14,-0.0097,U,0.75,0.025,0.0005
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,0.75,0.025,0.0005
Mean Reversion,0.33,0.51,0.78,-0.04,1.65,0.41,13,-0.0263,RUN,0.75,0.025,0.0005
Momentum,-0.24,-0.3,0.78,-0.39,3.49,0.44,21,0.01,RUN,0.75,0.025,0.0005
Combined,0.11,0.06,0.33,-0.02,1.45,0.07,16,-0.0063,RUN,0.75,0.025,0.0005
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,0.75,0.025,0.0005
Mean Reversion,0.55,0.7,0.52,0.16,1.05,0.36,5,0.0042,DOCN,0.75,0.025,0.0005
Momentum,-0.56,-0.69,0.59,-0.4,1.42,0.39,13,0.0074,DOCN,0.75,0.025,0.0005
Combined,-0.37,-0.19,0.23,-0.11,0.91,0.09,14,0.0021,DOCN,0.75,0.025,0.0005
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,0.75,0.025,0.0005
Mean Reversion,0.29,0.35,0.19,0.04,0.57,0.41,5,0.0017,SPY,0.75,0.025,0.0005
Momentum,0.19,0.22,0.19,0.02,0.59,0.47,13,0.0015,SPY,0.75,0.025,0.0005
Combined,0.45,0.34,0.09,0.04,0.37,0.19,12,0.001,SPY,0.75,0.025,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,0.75,0.025,0.0005
Mean Reversion,-0.84,-1.12,0.29,-0.25,0.86,0.4,5,-0.0022,AAPL,0.75,0.025,0.0005
Momentum,0.55,0.68,0.29,0.12,0.93,0.45,11,-0.0046,AAPL,0.75,0.025,0.0005
Combined,-0.39,-0.16,0.12,-0.05,0.4,0.03,14,-0.0031,AAPL,0.75,0.025,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.75,0.025,0.0005
Mean Reversion,-0.65,-0.83,0.28,-0.2,0.89,0.4,4,0.0049,MSFT,0.75,0.025,0.0005
Momentum,0.16,0.18,0.28,0.0,0.63,0.46,11,-0.0196,MSFT,0.75,0.025,0.0005
Combined,-0.54,-0.2,0.14,-0.08,0.44,0.05,7,-0.0294,MSFT,0.75,0.025,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.75,0.025,0.0005
Mean Reversion,-0.09,-0.13,0.3,-0.07,1.43,0.39,7,0.0203,GOOGL,0.75,0.025,0.0005
Momentum,0.09,0.12,0.3,-0.02,1.07,0.46,15,-0.0086,GOOGL,0.75,0.025,0.0005
Combined,-0.09,-0.05,0.1,-0.01,0.4,0.06,12,-0.0029,GOOGL,0.75,0.025,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.75,0.025,0.0005
Mean Reversion,-0.71,-0.91,0.49,-0.38,1.27,0.38,7,0.011,NVDA,0.75,0.025,0.0005
Momentum,0.84,1.23,0.5,0.34,3.2,0.46,11,-0.0224,NVDA,0.75,0.025,0.0005
Combined,0.0,0.0,0.13,-0.01,0.24,0.01,12,-0.0021,NVDA,0.75,0.025,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.75,0.025,0.0005
Mean Reversion,-0.01,-0.01,0.33,-0.05,1.24,0.41,11,-0.0009,AMZN,0.75,0.025,0.0005
Momentum,0.1,0.13,0.33,-0.02,0.7,0.43,18,-0.0056,AMZN,0.75,0.025,0.0005
Combined,0.25,0.12,0.09,0.02,0.28,0.05,18,0.003,AMZN,0.75,0.025,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.75,0.025,0.0005
Mean Reversion,-0.37,-0.48,0.86,-0.5,1.09,0.42,6,-0.0072,PLUG,0.75,0.025,0.001
Momentum,0.25,0.35,0.86,-0.14,24.48,0.43,13,-0.0122,PLUG,0.75,0.025,0.001
Combined,-0.14,-0.1,0.35,-0.11,0.83,0.11,9,-0.0115,PLUG,0.75,0.025,0.001
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,0.75,0.025,0.001
Mean Reversion,-0.21,-0.29,0.93,-0.47,1.09,0.39,7,-0.0219,FUBO,0.75,0.025,0.001
Momentum,0.02,0.03,0.96,-0.37,1.4,0.42,22,0.003,FUBO,0.75,0.025,0.001
Combined,-0.17,-0.08,0.29,-0.09,0.65,0.06,23,0.0001,FUBO,0.75,0.025,0.001
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,0.75,0.025,0.001
Mean Reversion,-0.68,-0.78,1.05,-0.73,2.89,0.41,6,0.0047,RIOT,0.75,0.025,0.001
Momentum,0.67,1.06,1.07,0.17,25.9,0.43,14,0.0392,RIOT,0.75,0.025,0.001
Combined,-0.14,-0.06,0.34,-0.1,0.72,0.06,14,0.0196,RIOT,0.75,0.025,0.001
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,0.75,0.025,0.001
Mean Reversion,-0.57,-0.78,0.62,-0.42,1.03,0.39,7,-0.0165,SOFI,0.75,0.025,0.001
Momentum,0.29,0.36,0.62,-0.02,1.71,0.4,13,0.0246,SOFI,0.75,0.025,0.001
Combined,-0.5,-0.2,0.17,-0.1,0.5,0.03,10,0.0105,SOFI,0.75,0.025,0.001
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,0.75,0.025,0.001
Mean Reversion,0.09,0.12,1.04,-0.36,1.03,0.36,8,0.0078,BCLI,0.75,0.025,0.001
Momentum,-0.44,-0.45,1.05,-0.66,3.35,0.42,19,-0.0186,BCLI,0.75,0.025,0.001
Combined,-0.58,-0.18,0.28,-0.18,0.8,0.05,12,-0.0095,BCLI,0.75,0.025,0.001
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,0.75,0.025,0.001
Mean Reversion,0.34,0.39,1.06,-0.22,3.88,0.41,4,0.019,SNDL,0.75,0.025,0.001
Momentum,0.05,0.05,1.08,-0.62,3.66,0.4,11,-0.0042,SNDL,0.75,0.025,0.001
Combined,0.35,0.22,0.4,0.06,0.81,0.13,13,-0.004,SNDL,0.75,0.025,0.001
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,0.75,0.025,0.001
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0248,MARA,0.75,0.025,0.001
Momentum,0.66,0.99,1.29,0.05,34.41,0.44,10,-0.016,MARA,0.75,0.025,0.001
Combined,0.09,0.06,0.69,-0.16,3.84,0.14,10,-0.0173,MARA,0.75,0.025,0.001
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,0.75,0.025,0.001
Mean Reversion,-0.43,-0.39,0.74,-0.56,2.18,0.41,13,0.0082,LUMN,0.75,0.025,0.001
Momentum,0.5,0.79,0.74,0.14,1.91,0.42,17,-0.0033,LUMN,0.75,0.025,0.001
Combined,0.21,0.07,0.08,0.01,0.21,0.03,12,0.0007,LUMN,0.75,0.025,0.001
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,0.75,0.025,0.001
Mean Reversion,0.0,0.0,0.67,-0.2,1.65,0.41,6,-0.0531,OPK,0.75,0.025,0.001
Momentum,-0.5,-0.6,0.67,-0.43,1.26,0.39,20,0.0115,OPK,0.75,0.025,0.001
Combined,-0.76,-0.37,0.23,-0.19,0.93,0.07,18,-0.0052,OPK,0.75,0.025,0.001
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,0.75,0.025,0.001
Mean Reversion,-0.02,-0.03,0.48,-0.12,1.68,0.41,9,-0.0109,FSLR,0.75,0.025,0.001
Momentum,0.11,0.16,0.49,-0.06,0.92,0.42,17,0.0011,FSLR,0.75,0.025,0.001
Combined,0.17,0.1,0.2,0.01,0.49,0.09,15,0.0046,FSLR,0.75,0.025,0.001
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,0.75,0.025,0.001
Mean Reversion,-0.3,-0.42,0.49,-0.24,1.41,0.4,6,0.0123,ALB,0.75,0.025,0.001
Momentum,0.12,0.16,0.49,-0.06,2.21,0.44,17,-0.0015,ALB,0.75,0.025,0.001
Combined,-0.25,-0.11,0.17,-0.05,0.56,0.05,16,-0.0039,ALB,0.75,0.025,0.001
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,0.75,0.025,0.001
Mean Reversion,-0.03,-0.04,0.69,-0.23,1.64,0.41,6,-0.008,ENPH,0.75,0.025,0.001
Momentum,0.48,0.61,0.7,0.09,2.41,0.45,16,0.0152,ENPH,0.75,0.025,0.001
Combined,0.46,0.35,0.34,0.1,0.76,0.11,18,0.0136,ENPH,0.75,0.025,0.001
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,0.75,0.025,0.001
Mean Reversion,-0.49,-0.72,0.6,-0.38,0.99,0.41,5,0.0114,CHWY,0.75,0.025,0.001
Momentum,0.45,0.58,0.6,0.09,2.88,0.43,9,0.0008,CHWY,0.75,0.025,0.001
Combined,-0.15,-0.07,0.15,-0.03,0.32,0.03,8,0.0012,CHWY,0.75,0.025,0.001
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,0.75,0.025,0.001
Mean Reversion,-0.43,-0.61,0.8,-0.49,0.97,0.39,5,-0.0601,PTON,0.75,0.025,0.001
Momentum,0.72,0.95,0.81,0.29,4.83,0.45,7,0.0002,PTON,0.75,0.025,0.001
Combined,0.41,0.23,0.24,0.07,0.5,0.05,8,-0.0095,PTON,0.75,0.025,0.001
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,0.75,0.025,0.001
Mean Reversion,0.3,0.41,0.66,-0.02,4.23,0.43,10,0.0182,ROKU,0.75,0.025,0.001
Momentum,-0.01,-0.01,0.66,-0.2,2.18,0.43,19,-0.0117,ROKU,0.75,0.025,0.001
Combined,0.4,0.22,0.22,0.07,0.75,0.06,23,-0.0033,ROKU,0.75,0.025,0.001
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,0.75,0.025,0.001
Mean Reversion,0.51,0.7,0.41,0.13,0.55,0.42,11,-0.0153,LVS,0.75,0.025,0.001
Momentum,-0.34,-0.42,0.41,-0.2,1.11,0.45,19,0.0012,LVS,0.75,0.025,0.001
Combined,0.32,0.15,0.12,0.03,0.3,0.06,20,-0.0028,LVS,0.75,0.025,0.001
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,0.75,0.025,0.001
Mean Reversion,0.18,0.23,0.69,-0.11,1.34,0.38,5,0.0024,U,0.75,0.025,0.001
Momentum,-0.07,-0.09,0.7,-0.26,1.82,0.42,12,-0.0017,U,0.75,0.025,0.001
Combined,0.2,0.09,0.27,0.02,0.55,0.06,14,-0.0102,U,0.75,0.025,0.001
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,0.75,0.025,0.001
Mean Reversion,0.33,0.5,0.78,-0.04,1.64,0.41,13,-0.0272,RUN,0.75,0.025,0.001
Momentum,-0.24,-0.3,0.78,-0.39,3.48,0.44,21,0.0091,RUN,0.75,0.025,0.001
Combined,0.11,0.06,0.33,-0.02,1.45,0.07,16,-0.0068,RUN,0.75,0.025,0.001
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,0.75,0.025,0.001
Mean Reversion,0.54,0.7,0.52,0.16,1.05,0.36,5,0.0033,DOCN,0.75,0.025,0.001
Momentum,-0.57,-0.69,0.59,-0.4,1.43,0.39,13,0.0064,DOCN,0.75,0.025,0.001
Combined,-0.37,-0.2,0.23,-0.11,0.91,0.09,14,0.0016,DOCN,0.75,0.025,0.001
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,0.75,0.025,0.001
Mean Reversion,0.29,0.34,0.19,0.04,0.57,0.41,5,0.0008,SPY,0.75,0.025,0.001
Momentum,0.18,0.21,0.19,0.02,0.59,0.47,13,0.0006,SPY,0.75,0.025,0.001
Combined,0.44,0.33,0.09,0.04,0.38,0.19,12,0.0005,SPY,0.75,0.025,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,0.75,0.025,0.001
Mean Reversion,-0.85,-1.13,0.29,-0.25,0.86,0.4,5,-0.0031,AAPL,0.75,0.025,0.001
Momentum,0.54,0.68,0.29,0.12,0.93,0.45,11,-0.0056,AAPL,0.75,0.025,0.001
Combined,-0.4,-0.16,0.12,-0.05,0.41,0.03,14,-0.0036,AAPL,0.75,0.025,0.001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.75,0.025,0.001
Mean Reversion,-0.65,-0.83,0.28,-0.2,0.89,0.4,4,0.0041,MSFT,0.75,0.025,0.001
Momentum,0.15,0.18,0.28,0.0,0.63,0.46,11,-0.0205,MSFT,0.75,0.025,0.001
Combined,-0.55,-0.2,0.14,-0.09,0.44,0.05,7,-0.0299,MSFT,0.75,0.025,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.75,0.025,0.001
Mean Reversion,-0.09,-0.13,0.3,-0.07,1.43,0.39,7,0.0194,GOOGL,0.75,0.025,0.001
Momentum,0.09,0.11,0.3,-0.02,1.07,0.46,15,-0.0096,GOOGL,0.75,0.025,0.001
Combined,-0.1,-0.05,0.1,-0.01,0.41,0.06,12,-0.0034,GOOGL,0.75,0.025,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.75,0.025,0.001
Mean Reversion,-0.71,-0.92,0.49,-0.38,1.27,0.38,7,0.0101,NVDA,0.75,0.025,0.001
Momentum,0.84,1.22,0.5,0.34,3.2,0.46,11,-0.0234,NVDA,0.75,0.025,0.001
Combined,-0.01,-0.0,0.13,-0.01,0.24,0.01,12,-0.0026,NVDA,0.75,0.025,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.75,0.025,0.001
Mean Reversion,-0.01,-0.01,0.33,-0.06,1.23,0.41,11,-0.0018,AMZN,0.75,0.025,0.001
Momentum,0.09,0.12,0.33,-0.02,0.7,0.43,18,-0.0066,AMZN,0.75,0.025,0.001
Combined,0.23,0.11,0.09,0.02,0.28,0.05,18,0.0025,AMZN,0.75,0.025,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.75,0.025,0.001
Mean Reversion,-0.37,-0.49,0.86,-0.51,1.09,0.42,6,-0.009,PLUG,0.75,0.025,0.002
Momentum,0.25,0.34,0.86,-0.15,24.47,0.43,13,-0.0142,PLUG,0.75,0.025,0.002
Combined,-0.15,-0.1,0.35,-0.11,0.83,0.11,9,-0.0125,PLUG,0.75,0.025,0.002
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,0.75,0.025,0.002
Mean Reversion,-0.21,-0.29,0.93,-0.47,1.08,0.39,7,-0.0238,FUBO,0.75,0.025,0.002
Momentum,0.01,0.02,0.96,-0.37,1.38,0.42,22,0.0011,FUBO,0.75,0.025,0.002
Combined,-0.19,-0.08,0.29,-0.09,0.66,0.06,23,-0.0009,FUBO,0.75,0.025,0.002
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,0.75,0.025,0.002
Mean Reversion,-0.68,-0.79,1.05,-0.73,2.88,0.41,6,0.0029,RIOT,0.75,0.025,0.002
Momentum,0.67,1.06,1.07,0.17,25.88,0.43,14,0.0373,RIOT,0.75,0.025,0.002
Combined,-0.14,-0.07,0.34,-0.1,0.73,0.06,14,0.0186,RIOT,0.75,0.025,0.002
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,0.75,0.025,0.002
Mean Reversion,-0.57,-0.78,0.62,-0.42,1.03,0.39,7,-0.0184,SOFI,0.75,0.025,0.002
Momentum,0.28,0.35,0.62,-0.02,1.72,0.4,13,0.0227,SOFI,0.75,0.025,0.002
Combined,-0.51,-0.2,0.17,-0.1,0.5,0.03,10,0.0095,SOFI,0.75,0.025,0.002
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,0.75,0.025,0.002
Mean Reversion,0.09,0.12,1.04,-0.37,1.03,0.36,8,0.0059,BCLI,0.75,0.025,0.002
Momentum,-0.44,-0.45,1.05,-0.66,3.33,0.42,19,-0.0206,BCLI,0.75,0.025,0.002
Combined,-0.59,-0.19,0.28,-0.19,0.8,0.05,12,-0.0105,BCLI,0.75,0.025,0.002
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,0.75,0.025,0.002
Mean Reversion,0.34,0.39,1.06,-0.22,3.87,0.41,4,0.0173,SNDL,0.75,0.025,0.002
Momentum,0.05,0.05,1.08,-0.62,3.65,0.4,11,-0.0061,SNDL,0.75,0.025,0.002
Combined,0.35,0.22,0.4,0.06,0.81,0.13,13,-0.005,SNDL,0.75,0.025,0.002
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,0.75,0.025,0.002
Mean Reversion,-0.54,-0.61,1.29,-0.82,1.18,0.43,4,-0.0265,MARA,0.75,0.025,0.002
Momentum,0.66,0.99,1.29,0.04,34.25,0.44,10,-0.0179,MARA,0.75,0.025,0.002
Combined,0.09,0.06,0.69,-0.17,3.83,0.14,10,-0.0183,MARA,0.75,0.025,0.002
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,0.75,0.025,0.002
Mean Reversion,-0.44,-0.39,0.74,-0.56,2.14,0.41,13,0.0063,LUMN,0.75,0.025,0.002
Momentum,0.5,0.78,0.74,0.13,1.85,0.42,17,-0.0052,LUMN,0.75,0.025,0.002
Combined,0.19,0.07,0.08,0.01,0.21,0.03,12,-0.0003,LUMN,0.75,0.025,0.002
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,0.75,0.025,0.002
Mean Reversion,-0.0,-0.0,0.67,-0.2,1.64,0.41,6,-0.055,OPK,0.75,0.025,0.002
Momentum,-0.51,-0.61,0.67,-0.44,1.26,0.39,20,0.0096,OPK,0.75,0.025,0.002
Combined,-0.77,-0.38,0.23,-0.19,0.94,0.07,18,-0.0062,OPK,0.75,0.025,0.002
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,0.75,0.025,0.002
Mean Reversion,-0.03,-0.04,0.48,-0.13,1.68,0.41,9,-0.0128,FSLR,0.75,0.025,0.002
Momentum,0.1,0.14,0.49,-0.07,0.92,0.42,17,-0.0008,FSLR,0.75,0.025,0.002
Combined,0.16,0.09,0.2,0.01,0.48,0.09,15,0.0036,FSLR,0.75,0.025,0.002
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,0.75,0.025,0.002
Mean Reversion,-0.31,-0.42,0.49,-0.24,1.41,0.4,6,0.0105,ALB,0.75,0.025,0.002
Momentum,0.11,0.15,0.49,-0.06,2.2,0.44,17,-0.0035,ALB,0.75,0.025,0.002
Combined,-0.26,-0.12,0.17,-0.06,0.57,0.05,16,-0.0049,ALB,0.75,0.025,0.002
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,0.75,0.025,0.002
Mean Reversion,-0.04,-0.05,0.69,-0.23,1.63,0.41,6,-0.0098,ENPH,0.75,0.025,0.002
Momentum,0.47,0.6,0.7,0.09,2.36,0.45,16,0.0132,ENPH,0.75,0.025,0.002
Combined,0.45,0.34,0.34,0.1,0.75,0.11,18,0.0126,ENPH,0.75,0.025,0.002
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,0.75,0.025,0.002
Mean Reversion,-0.49,-0.73,0.6,-0.38,0.99,0.41,5,0.0096,CHWY,0.75,0.025,0.002
Momentum,0.44,0.57,0.6,0.09,2.87,0.43,9,-0.0011,CHWY,0.75,0.025,0.002
Combined,-0.16,-0.08,0.15,-0.03,0.32,0.03,8,0.0002,CHWY,0.75,0.025,0.002
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,0.75,0.025,0.002
Mean Reversion,-0.43,-0.61,0.8,-0.49,0.97,0.39,5,-0.0619,PTON,0.75,0.025,0.002
Momentum,0.72,0.95,0.81,0.28,4.81,0.45,7,-0.0016,PTON,0.75,0.025,0.002
Combined,0.4,0.23,0.24,0.07,0.5,0.05,8,-0.0105,PTON,0.75,0.025,0.002
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,0.75,0.025,0.002
Mean Reversion,0.3,0.4,0.66,-0.02,4.21,0.43,10,0.0163,ROKU,0.75,0.025,0.002
Momentum,-0.02,-0.02,0.66,-0.21,2.15,0.43,19,-0.0137,ROKU,0.75,0.025,0.002
Combined,0.39,0.21,0.22,0.06,0.76,0.06,23,-0.0043,ROKU,0.75,0.025,0.002
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,0.75,0.025,0.002
Mean Reversion,0.5,0.69,0.41,0.13,0.54,0.42,11,-0.0172,LVS,0.75,0.025,0.002
Momentum,-0.35,-0.43,0.41,-0.21,1.12,0.45,19,-0.0008,LVS,0.75,0.025,0.002
Combined,0.29,0.13,0.12,0.03,0.31,0.06,20,-0.0038,LVS,0.75,0.025,0.002
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,0.75,0.025,0.002
Mean Reversion,0.18,0.23,0.69,-0.11,1.33,0.38,5,0.0006,U,0.75,0.025,0.002
Momentum,-0.08,-0.1,0.7,-0.26,1.81,0.42,12,-0.0037,U,0.75,0.025,0.002
Combined,0.19,0.09,0.27,0.01,0.55,0.06,14,-0.0112,U,0.75,0.025,0.002
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,0.75,0.025,0.002
Mean Reversion,0.32,0.5,0.78,-0.05,1.64,0.41,13,-0.0292,RUN,0.75,0.025,0.002
Momentum,-0.25,-0.31,0.78,-0.4,3.46,0.44,21,0.0071,RUN,0.75,0.025,0.002
Combined,0.1,0.05,0.33,-0.02,1.45,0.07,16,-0.0078,RUN,0.75,0.025,0.002
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,0.75,0.025,0.002
Mean Reversion,0.54,0.7,0.52,0.16,1.04,0.36,5,0.0015,DOCN,0.75,0.025,0.002
Momentum,-0.58,-0.71,0.59,-0.4,1.43,0.39,13,0.0045,DOCN,0.75,0.025,0.002
Combined,-0.39,-0.21,0.23,-0.11,0.9,0.09,14,0.0006,DOCN,0.75,0.025,0.002
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,0.75,0.025,0.002
Mean Reversion,0.28,0.33,0.19,0.04,0.58,0.41,5,-0.001,SPY,0.75,0.025,0.002
Momentum,0.16,0.18,0.19,0.01,0.61,0.47,13,-0.0013,SPY,0.75,0.025,0.002
Combined,0.42,0.32,0.09,0.03,0.39,0.19,12,-0.0005,SPY,0.75,0.025,0.002
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,0.75,0.025,0.002
Mean Reversion,-0.85,-1.13,0.29,-0.25,0.86,0.4,5,-0.0049,AAPL,0.75,0.025,0.002
Momentum,0.53,0.66,0.29,0.12,0.94,0.45,11,-0.0075,AAPL,0.75,0.025,0.002
Combined,-0.42,-0.17,0.12,-0.06,0.41,0.03,14,-0.0046,AAPL,0.75,0.025,0.002
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,0.75,0.025,0.002
Mean Reversion,-0.66,-0.84,0.28,-0.2,0.89,0.4,4,0.0023,MSFT,0.75,0.025,0.002
Momentum,0.14,0.16,0.28,-0.0,0.63,0.46,11,-0.0224,MSFT,0.75,0.025,0.002
Combined,-0.55,-0.2,0.14,-0.09,0.44,0.05,7,-0.0309,MSFT,0.75,0.025,0.002
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,0.75,0.025,0.002
Mean Reversion,-0.1,-0.14,0.3,-0.07,1.42,0.39,7,0.0175,GOOGL,0.75,0.025,0.002
Momentum,0.07,0.09,0.3,-0.02,1.08,0.46,15,-0.0115,GOOGL,0.75,0.025,0.002
Combined,-0.12,-0.06,0.1,-0.02,0.41,0.06,12,-0.0044,GOOGL,0.75,0.025,0.002
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,0.75,0.025,0.002
Mean Reversion,-0.72,-0.92,0.49,-0.38,1.27,0.38,7,0.0082,NVDA,0.75,0.025,0.002
Momentum,0.83,1.21,0.5,0.34,3.19,0.46,11,-0.0253,NVDA,0.75,0.025,0.002
Combined,-0.02,-0.01,0.13,-0.01,0.24,0.01,12,-0.0036,NVDA,0.75,0.025,0.002
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,0.75,0.025,0.002
Mean Reversion,-0.02,-0.03,0.33,-0.06,1.21,0.41,11,-0.0037,AMZN,0.75,0.025,0.002
Momentum,0.07,0.09,0.33,-0.03,0.71,0.43,18,-0.0085,AMZN,0.75,0.025,0.002
Combined,0.2,0.1,0.09,0.01,0.27,0.05,18,0.0015,AMZN,0.75,0.025,0.002
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,0.75,0.025,0.002
Mean Reversion,-0.37,-0.48,0.86,-0.5,1.09,0.42,6,-0.0055,PLUG,0.75,0.03,0.0001
Momentum,0.26,0.35,0.86,-0.14,24.49,0.43,13,-0.0105,PLUG,0.75,0.03,0.0001
Combined,-0.14,-0.09,0.35,-0.11,0.83,0.11,9,-0.0106,PLUG,0.75,0.03,0.0001
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,0.75,0.03,0.0001
Mean Reversion,-0.21,-0.28,0.93,-0.47,1.09,0.39,7,-0.0202,FUBO,0.75,0.03,0.0001
Momentum,0.0,0.0,0.96,-0.38,1.23,0.42,22,0.004,FUBO,0.75,0.03,0.0001
Combined,-0.2,-0.09,0.29,-0.1,0.68,0.06,23,0.0002,FUBO,0.75,0.03,0.0001
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,0.75,0.03,0.0001
Mean Reversion,-0.68,-0.78,1.05,-0.73,2.9,0.41,6,0.0064,RIOT,0.75,0.03,0.0001
Momentum,0.64,1.02,1.07,0.14,26.37,0.43,14,0.0343,RIOT,0.75,0.03,0.0001
Combined,-0.19,-0.09,0.34,-0.11,0.72,0.06,12,0.0173,RIOT,0.75,0.03,0.0001
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,0.75,0.03,0.0001
Mean Reversion,-0.56,-0.77,0.62,-0.42,1.03,0.39,7,-0.0149,SOFI,0.75,0.03,0.0001
